date,Read Type,time,kWh
2022-04-16T00:00:00Z,kWh Consumed,09:00:00,0.15499999999999992
2022-04-16T00:00:00Z,kWh Consumed,09:15:00,0.09400000000000008
2022-04-16T00:00:00Z,kWh Consumed,09:30:00,0.07499999999999996
2022-04-16T00:00:00Z,kWh Consumed,09:45:00,-0.041999999999999815
2022-04-16T00:00:00Z,kWh Consumed,10:00:00,0.254
2022-04-16T00:00:00Z,kWh Consumed,10:15:00,0.10499999999999998
2022-04-16T00:00:00Z,kWh Consumed,10:30:00,0.015999999999999903
2022-04-16T00:00:00Z,kWh Consumed,10:45:00,0.006999999999999895
2022-04-16T00:00:00Z,kWh Consumed,11:00:00,0.07099999999999995
2022-04-16T00:00:00Z,kWh Consumed,11:15:00,0.050000000000000044
2022-04-16T00:00:00Z,kWh Consumed,11:30:00,-0.2160000000000002
2022-04-16T00:00:00Z,kWh Consumed,11:45:00,0.1280000000000001
2022-04-16T00:00:00Z,kWh Consumed,12:00:00,0.26
2022-04-16T00:00:00Z,kWh Consumed,12:15:00,0.17799999999999994
2022-04-16T00:00:00Z,kWh Consumed,12:30:00,0.131
2022-04-16T00:00:00Z,kWh Consumed,12:45:00,0.061000000000000054
2022-04-16T00:00:00Z,kWh Consumed,13:00:00,0.019000000000000017
2022-04-16T00:00:00Z,kWh Consumed,13:15:00,0.124
2022-04-16T00:00:00Z,kWh Consumed,13:30:00,0.041000000000000036
2022-04-16T00:00:00Z,kWh Consumed,13:45:00,0.04800000000000004
2022-04-16T00:00:00Z,kWh Consumed,14:00:00,0.02200000000000002
2022-04-16T00:00:00Z,kWh Consumed,14:15:00,0.1309999999999999
2022-04-16T00:00:00Z,kWh Consumed,14:30:00,0.16200000000000003
2022-04-16T00:00:00Z,kWh Consumed,14:45:00,-0.0050000000000000044
2022-04-16T00:00:00Z,kWh Consumed,15:00:00,-0.17900000000000027
2022-04-16T00:00:00Z,kWh Consumed,15:15:00,0.07100000000000017
2022-04-16T00:00:00Z,kWh Consumed,15:30:00,0.09999999999999964
2022-04-16T00:00:00Z,kWh Consumed,15:45:00,0.31499999999999995
2022-04-16T00:00:00Z,kWh Consumed,16:00:00,-0.09199999999999997
2022-04-16T00:00:00Z,kWh Consumed,16:15:00,0.262
2022-04-16T00:00:00Z,kWh Consumed,16:30:00,0.11599999999999996
2022-04-16T00:00:00Z,kWh Consumed,16:45:00,0.06400000000000006
2022-04-16T00:00:00Z,kWh Consumed,17:00:00,0.19799999999999995
2022-04-16T00:00:00Z,kWh Consumed,17:15:00,0.236
2022-04-16T00:00:00Z,kWh Consumed,17:30:00,0.37799999999999995
2022-04-16T00:00:00Z,kWh Consumed,17:45:00,0.17099999999999999
2022-04-16T00:00:00Z,kWh Consumed,18:00:00,0.342
2022-04-16T00:00:00Z,kWh Consumed,18:15:00,0.232
2022-04-16T00:00:00Z,kWh Consumed,18:30:00,0.227
2022-04-16T00:00:00Z,kWh Consumed,18:45:00,0.223
2022-04-16T00:00:00Z,kWh Consumed,19:00:00,0.24000000000000002
2022-04-16T00:00:00Z,kWh Consumed,19:15:00,0.231
2022-04-16T00:00:00Z,kWh Consumed,19:30:00,0.23
2022-04-16T00:00:00Z,kWh Consumed,19:45:00,0.21
2022-04-16T00:00:00Z,kWh Consumed,20:00:00,0.22
2022-04-16T00:00:00Z,kWh Consumed,20:15:00,0.2
2022-04-16T00:00:00Z,kWh Consumed,20:30:00,0.22
2022-04-16T00:00:00Z,kWh Consumed,20:45:00,0.23
2022-04-16T00:00:00Z,kWh Consumed,21:00:00,0.24
2022-04-16T00:00:00Z,kWh Consumed,21:15:00,0.23
2022-04-16T00:00:00Z,kWh Consumed,21:30:00,0.22
2022-04-16T00:00:00Z,kWh Consumed,21:45:00,0.21
2022-04-16T00:00:00Z,kWh Consumed,22:00:00,0.2
2022-04-16T00:00:00Z,kWh Consumed,22:15:00,0.19
2022-04-16T00:00:00Z,kWh Consumed,22:30:00,0.2
2022-04-16T00:00:00Z,kWh Consumed,22:45:00,0.3
2022-04-16T00:00:00Z,kWh Consumed,23:00:00,0.27
2022-04-16T00:00:00Z,kWh Consumed,23:15:00,0.16
2022-04-16T00:00:00Z,kWh Consumed,23:30:00,0.1
2022-04-16T00:00:00Z,kWh Consumed,23:45:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,00:00:00,0.08
2022-04-17T00:00:00Z,kWh Consumed,00:15:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,00:30:00,0.08
2022-04-17T00:00:00Z,kWh Consumed,00:45:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,01:00:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,01:15:00,0.12
2022-04-17T00:00:00Z,kWh Consumed,01:30:00,0.1
2022-04-17T00:00:00Z,kWh Consumed,01:45:00,0.11
2022-04-17T00:00:00Z,kWh Consumed,02:00:00,0.08
2022-04-17T00:00:00Z,kWh Consumed,02:15:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,02:30:00,0.07
2022-04-17T00:00:00Z,kWh Consumed,02:45:00,0.08
2022-04-17T00:00:00Z,kWh Consumed,03:00:00,0.07
2022-04-17T00:00:00Z,kWh Consumed,03:15:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,03:30:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,03:45:00,0.1
2022-04-17T00:00:00Z,kWh Consumed,04:00:00,0.09
2022-04-17T00:00:00Z,kWh Consumed,04:15:00,0.08
2022-04-17T00:00:00Z,kWh Consumed,04:30:00,0.07
2022-04-17T00:00:00Z,kWh Consumed,04:45:00,0.07
2022-04-17T00:00:00Z,kWh Consumed,05:00:00,0.23
2022-04-17T00:00:00Z,kWh Consumed,05:15:00,0.26
2022-04-17T00:00:00Z,kWh Consumed,05:30:00,0.25
2022-04-17T00:00:00Z,kWh Consumed,05:45:00,0.27
2022-04-17T00:00:00Z,kWh Consumed,06:00:00,0.29
2022-04-17T00:00:00Z,kWh Consumed,06:15:00,0.259
2022-04-17T00:00:00Z,kWh Consumed,06:30:00,0.23199999999999998
2022-04-17T00:00:00Z,kWh Consumed,06:45:00,0.17099999999999999
2022-04-17T00:00:00Z,kWh Consumed,07:00:00,0.172
2022-04-17T00:00:00Z,kWh Consumed,07:15:00,0.17000000000000004
2022-04-17T00:00:00Z,kWh Consumed,07:30:00,0.19600000000000006
2022-04-17T00:00:00Z,kWh Consumed,07:45:00,0.47899999999999987
2022-04-17T00:00:00Z,kWh Consumed,08:00:00,0.2859999999999999
2022-04-17T00:00:00Z,kWh Consumed,08:15:00,0.29800000000000004
2022-04-17T00:00:00Z,kWh Consumed,08:30:00,0.18799999999999994
2022-04-17T00:00:00Z,kWh Consumed,08:45:00,0.15700000000000003
2022-04-17T00:00:00Z,kWh Consumed,09:00:00,0.16899999999999982
2022-04-17T00:00:00Z,kWh Consumed,09:15:00,0.09000000000000008
2022-04-17T00:00:00Z,kWh Consumed,09:30:00,0.09200000000000008
2022-04-17T00:00:00Z,kWh Consumed,09:45:00,0.236
2022-04-17T00:00:00Z,kWh Consumed,10:00:00,0.2650000000000001
2022-04-17T00:00:00Z,kWh Consumed,10:15:00,0.973
2022-04-17T00:00:00Z,kWh Consumed,10:30:00,0.486
2022-04-17T00:00:00Z,kWh Consumed,10:45:00,0.244
2022-04-17T00:00:00Z,kWh Consumed,11:00:00,0.389
2022-04-17T00:00:00Z,kWh Consumed,11:15:00,1.2129999999999999
2022-04-17T00:00:00Z,kWh Consumed,11:30:00,1.6520000000000001
2022-04-17T00:00:00Z,kWh Consumed,11:45:00,1.463
2022-04-17T00:00:00Z,kWh Consumed,12:00:00,0.1080000000000001
2022-04-17T00:00:00Z,kWh Consumed,12:15:00,0.45300000000000007
2022-04-17T00:00:00Z,kWh Consumed,12:30:00,0.5329999999999999
2022-04-17T00:00:00Z,kWh Consumed,12:45:00,-0.050000000000000044
